Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,11,11,NA,11,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,NA,NA,NA,NA,NA,August,2018
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,100,100,NA,100,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,36,36,NA,36,NA,0,0,NA,0,NA,23,23,NA,23,NA,41,41,NA,41,NA,NA,NA,NA,NA,NA,August,2018
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,August,2018
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,59,59,NA,59,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,25,25,NA,25,NA,0,0,NA,0,NA,11,11,NA,11,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA,August,2018
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1214,713,501,492,722,208,208,NA,NA,208,0,0,NA,0,NA,505,505,NA,0,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,NA,501,492,9,August,2018
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,372,193,179,179,193,93,93,NA,NA,93,0,0,NA,0,NA,100,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,179,179,0,August,2018
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,620,589,31,620,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,351,351,NA,351,NA,NA,NA,NA,NA,NA,17,17,NA,17,NA,221,221,NA,221,NA,31,NA,31,31,NA,August,2018
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,422,168,254,246,176,115,115,NA,NA,115,0,0,NA,0,NA,53,53,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,254,246,8,August,2018
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,111,71,40,39,72,46,46,NA,NA,46,0,0,NA,0,NA,25,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,39,1,August,2018
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,682,421,261,312,370,98,98,NA,NA,98,0,0,NA,0,NA,291,291,NA,24,267,NA,NA,NA,NA,NA,9,9,NA,9,NA,23,23,NA,23,NA,261,NA,261,256,5,August,2018
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,650,405,245,296,354,114,114,NA,NA,114,0,0,NA,0,NA,249,249,NA,13,236,NA,NA,NA,NA,NA,14,14,NA,14,NA,28,28,NA,28,NA,245,NA,245,241,4,August,2018
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,78,45,33,36,42,35,35,NA,NA,35,0,0,NA,0,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,3,3,NA,3,NA,0,0,NA,0,NA,33,NA,33,33,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,10,6,4,4,6,3,3,NA,NA,3,0,0,NA,0,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,4,NA,4,4,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,114,48,66,72,42,13,13,NA,NA,13,0,0,NA,0,NA,29,29,NA,0,29,NA,NA,NA,NA,NA,5,5,NA,5,NA,1,1,NA,1,NA,66,NA,66,66,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,159,32,127,124,35,30,30,NA,NA,30,0,0,NA,0,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,127,124,3,August,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,41,10,31,31,10,10,10,NA,NA,10,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,31,31,NA,August,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,73,53,20,20,53,22,22,NA,NA,22,0,0,NA,0,NA,31,31,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,20,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1262,814,448,538,724,212,212,NA,NA,212,0,0,NA,0,NA,540,540,NA,37,503,NA,NA,NA,NA,NA,23,23,NA,23,NA,39,39,NA,39,NA,448,NA,448,439,9,August,2018
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,286,202,84,103,183,59,59,NA,NA,59,0,0,NA,0,NA,125,125,NA,1,124,NA,NA,NA,NA,NA,8,8,NA,8,NA,10,10,NA,10,NA,84,NA,84,84,0,August,2018
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,928,713,215,305,623,198,198,NA,NA,198,0,0,NA,0,NA,462,462,NA,37,425,NA,NA,NA,NA,NA,23,23,NA,23,NA,30,30,NA,30,NA,215,NA,215,215,0,August,2018
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,249,240,9,9,240,162,162,NA,NA,162,0,0,NA,0,NA,78,78,NA,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,0,August,2018
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,19,17,2,1,18,2,2,NA,NA,2,NA,NA,NA,NA,NA,15,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,August,2018
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,84,84,0,84,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,34,34,NA,34,0,NA,NA,NA,NA,NA,23,23,NA,23,NA,27,27,NA,27,NA,0,NA,0,0,0,August,2018
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,455,269,186,186,269,200,200,NA,NA,200,0,0,NA,0,NA,69,69,NA,0,69,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,186,NA,186,186,0,August,2018
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,803,654,149,298,505,NA,NA,NA,NA,NA,0,0,NA,0,NA,531,531,NA,26,505,NA,NA,NA,NA,NA,25,25,NA,25,NA,98,98,NA,98,NA,149,NA,149,149,0,August,2018
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,802,654,148,297,505,NA,NA,NA,NA,NA,0,0,NA,0,NA,531,531,NA,26,505,NA,NA,NA,NA,NA,25,25,NA,25,NA,98,98,NA,98,NA,148,NA,148,148,0,August,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,118,118,0,106,12,0,0,NA,NA,0,2,2,NA,2,NA,22,22,NA,15,7,0,0,NA,0,NA,8,8,NA,8,NA,86,86,NA,81,5,0,NA,0,0,0,August,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,400,394,6,245,155,12,12,NA,NA,12,5,5,NA,5,NA,116,116,NA,76,40,0,0,NA,0,NA,26,26,NA,26,NA,235,235,NA,132,103,6,NA,6,6,0,August,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,114,114,0,102,12,0,0,NA,NA,0,0,0,NA,0,NA,20,20,NA,13,7,0,0,NA,0,NA,8,8,NA,8,NA,86,86,NA,81,5,0,NA,0,0,0,August,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,398,392,6,243,155,12,12,NA,NA,12,3,3,NA,3,NA,116,116,NA,76,40,0,0,NA,0,NA,26,26,NA,26,NA,235,235,NA,132,103,6,NA,6,6,0,August,2018
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,13,8,5,5,8,8,8,NA,NA,8,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,0,August,2018
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,16,13,3,3,13,12,12,NA,NA,12,0,0,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0,August,2018
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,20,20,0,0,20,18,18,NA,NA,18,0,0,NA,0,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,202,181,21,92,110,34,34,NA,NA,34,0,0,NA,0,NA,62,62,NA,48,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,NA,23,62,21,NA,21,21,0,August,2018
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,87,87,0,0,87,58,58,NA,NA,58,0,0,NA,0,NA,29,29,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,26,26,0,0,26,20,20,NA,NA,20,0,0,NA,0,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,59,47,12,25,34,11,11,NA,NA,11,0,0,NA,0,NA,15,15,NA,9,6,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,21,NA,6,15,12,NA,12,10,2,August,2018
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,2,0,2,2,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0,August,2018
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,115,111,4,42,73,8,8,NA,NA,8,0,0,NA,0,NA,45,45,NA,36,9,NA,NA,NA,NA,NA,1,1,NA,1,NA,57,57,NA,1,56,4,NA,4,4,0,August,2018
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,7,5,2,3,4,2,2,NA,NA,2,0,0,NA,0,NA,3,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0,August,2018
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,1,0,1,1,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0,August,2018
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,1136,1109,27,812,324,0,0,NA,NA,0,6,6,NA,6,NA,647,647,NA,347,300,11,11,NA,11,NA,98,98,NA,98,NA,347,347,NA,323,24,27,NA,27,27,0,August,2018
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,57667,57637,30,38847,18820,6500,6500,NA,NA,6500,2790,2790,NA,2790,NA,29239,29239,NA,19239,10000,2100,2100,NA,2100,NA,4132,4132,NA,4132,NA,12876,12876,NA,10556,2320,30,NA,30,30,0,August,2018
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,208,208,0,200,8,7,7,NA,NA,7,0,0,NA,0,NA,120,120,NA,120,0,1,1,NA,1,NA,42,42,NA,42,NA,38,38,NA,37,1,0,NA,0,0,0,August,2018
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,270,267,3,163,107,0,0,NA,NA,0,0,0,NA,0,NA,180,180,NA,80,100,0,0,NA,0,NA,30,30,NA,30,NA,57,57,NA,50,7,3,NA,3,3,0,August,2018
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1601,1507,94,1239,362,0,0,NA,NA,0,0,0,NA,0,NA,965,965,NA,695,270,NA,NA,NA,NA,NA,98,98,NA,98,NA,444,444,NA,359,85,94,NA,94,87,7,August,2018
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,848,522,326,326,522,NA,NA,NA,NA,NA,0,0,NA,0,NA,504,504,NA,0,504,NA,NA,NA,NA,NA,0,0,NA,0,NA,18,18,NA,NA,18,326,NA,326,326,0,August,2018
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1331,891,440,613,718,224,224,NA,NA,224,0,0,NA,0,NA,499,499,NA,63,436,0,0,NA,0,NA,34,34,NA,34,NA,134,134,NA,85,49,440,NA,440,431,9,August,2018
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,130,5,125,127,3,1,1,NA,NA,1,0,0,NA,0,NA,3,3,NA,2,1,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,0,1,125,NA,125,125,0,August,2018
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,55,2,53,55,0,0,0,NA,NA,0,0,0,NA,0,NA,2,2,NA,2,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,53,NA,53,53,0,August,2018
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,58,2,56,58,0,0,0,NA,NA,0,0,0,NA,0,NA,2,2,NA,2,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,56,NA,56,56,0,August,2018
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1550,1395,155,1095,455,171,171,NA,NA,171,18,18,NA,18,NA,656,656,NA,546,110,3,3,NA,3,NA,71,71,NA,71,NA,476,476,NA,302,174,155,NA,155,155,0,August,2018
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1397,1288,109,1113,284,62,62,NA,NA,62,14,14,NA,14,NA,694,694,NA,609,85,2,2,NA,2,NA,56,56,NA,56,NA,460,460,NA,323,137,109,NA,109,109,0,August,2018
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1392,1303,89,1111,281,66,66,NA,NA,66,20,20,NA,20,NA,668,668,NA,593,75,4,4,NA,4,NA,63,63,NA,63,NA,482,482,NA,342,140,89,NA,89,89,0,August,2018
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1194,736,458,490,704,223,223,NA,NA,223,0,0,NA,0,NA,448,448,NA,12,436,0,0,NA,0,NA,20,20,NA,20,NA,45,45,NA,9,36,458,NA,458,449,9,August,2018
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1423,1328,95,965,458,172,172,NA,NA,172,18,18,NA,18,NA,587,587,NA,476,111,3,3,NA,3,NA,71,71,NA,71,NA,477,477,NA,302,175,95,NA,95,95,0,August,2018
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1286,1215,71,1002,284,62,62,NA,NA,62,14,14,NA,14,NA,621,621,NA,536,85,2,2,NA,2,NA,56,56,NA,56,NA,460,460,NA,323,137,71,NA,71,71,0,August,2018
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1250,1185,65,969,281,66,66,NA,NA,66,20,20,NA,20,NA,550,550,NA,475,75,4,4,NA,4,NA,63,63,NA,63,NA,482,482,NA,342,140,65,NA,65,65,0,August,2018
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,1114,691,423,436,678,223,223,NA,NA,223,0,0,NA,0,NA,422,422,NA,4,418,0,0,NA,0,NA,15,15,NA,15,NA,31,31,NA,3,28,423,NA,423,414,9,August,2018
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,92,7,85,91,1,1,1,NA,NA,1,0,0,NA,0,NA,2,2,NA,2,0,4,4,NA,4,NA,0,0,NA,0,NA,0,0,NA,0,0,85,NA,85,85,0,August,2018
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,54,6,48,53,1,1,1,NA,NA,1,0,0,NA,0,NA,1,1,NA,1,0,4,4,NA,4,NA,0,0,NA,0,NA,0,0,NA,0,0,48,NA,48,48,0,August,2018
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,51,24,27,51,0,0,0,NA,NA,0,0,0,NA,0,NA,3,3,NA,3,0,0,0,NA,0,NA,0,0,NA,0,NA,21,21,NA,21,0,27,NA,27,27,0,August,2018
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1426,1359,67,966,460,176,176,NA,NA,176,17,17,NA,17,NA,653,653,NA,543,110,2,2,NA,2,NA,34,34,NA,34,NA,477,477,NA,303,174,67,NA,67,67,0,August,2018
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1264,1189,75,1004,260,66,66,NA,NA,66,17,17,NA,17,NA,638,638,NA,569,69,3,3,NA,3,NA,38,38,NA,38,NA,427,427,NA,302,125,75,NA,75,75,0,August,2018
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,99,0,99,99,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,99,NA,99,99,0,August,2018
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,96,0,96,96,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,96,NA,96,96,0,August,2018
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,71,0,71,71,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,71,NA,71,71,0,August,2018
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1554,1531,23,1257,297,51,51,NA,NA,51,24,24,NA,24,NA,874,874,NA,787,87,0,0,NA,0,NA,43,43,NA,43,NA,539,539,NA,380,159,23,NA,23,23,0,August,2018
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,174,153,21,174,0,0,0,NA,NA,0,0,0,NA,0,NA,16,16,NA,16,0,4,4,NA,4,NA,42,42,NA,42,NA,91,91,NA,91,NA,21,NA,21,21,0,August,2018
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,August,2018
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,854,846,8,707,147,16,16,NA,NA,16,11,11,NA,11,NA,456,456,NA,410,46,4,4,NA,4,NA,46,46,NA,46,NA,313,313,NA,228,85,8,NA,8,8,0,August,2018
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,775,769,6,652,123,8,8,NA,NA,8,12,12,NA,12,NA,427,427,NA,386,41,0,0,NA,0,NA,39,39,NA,39,NA,283,283,NA,209,74,6,NA,6,6,0,August,2018
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,96,92,4,94,2,0,0,NA,NA,0,0,0,NA,0,NA,24,24,NA,24,0,0,0,NA,0,NA,3,3,NA,3,NA,65,65,NA,63,2,4,NA,4,4,0,August,2018
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,3,1,2,3,0,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0,August,2018
